VehicleId,Timestamp,Latitude,Longitude,TripId
23,05:10:58,42.42007446,19.25787163,10_AB_radni_T01
23,05:15:29,42.42015457,19.25749779,10_AB_radni_T01
23,05:16:04,42.42058945,19.25535583,10_AB_radni_T01
23,05:16:35,42.41888046,19.25383377,10_AB_radni_T01
23,05:17:08,42.41529846,19.25162697,10_AB_radni_T01
23,05:17:42,42.4134903,19.25040627,10_AB_radni_T01
23,05:18:15,42.41211319,19.24891472,10_AB_radni_T01
23,05:18:53,42.41255569,19.24684143,10_AB_radni_T01
23,05:19:23,42.41127396,19.24522972,10_AB_radni_T01
23,05:19:55,42.40946198,19.24468803,10_AB_radni_T01
23,05:20:26,42.40684509,19.24283028,10_AB_radni_T01
23,05:21:17,42.40539551,19.24185562,10_AB_radni_T01
23,05:30:48,42.4057045,19.24191284,10_AB_radni_T01
23,05:31:21,42.40744781,19.24337196,10_AB_radni_T01
23,05:32:04,42.40929794,19.24461174,10_AB_radni_T01
23,05:32:38,42.41107178,19.24516487,10_AB_radni_T01
23,05:33:11,42.41242599,19.24674034,10_AB_radni_T01
23,05:33:45,42.4131279,19.2474823,10_AB_radni_T01
23,05:34:23,42.41479111,19.24843597,10_AB_radni_T01
23,05:34:57,42.41703033,19.24903679,10_AB_radni_T01
23,05:35:42,42.4185257,19.24908829,10_AB_radni_T01
23,05:36:15,42.41996765,19.24932671,10_AB_radni_T01
23,05:36:54,42.42091751,19.248703,10_AB_radni_T01
23,05:37:27,42.4188385,19.24648094,10_AB_radni_T01
23,05:37:57,42.41771317,19.24529839,10_AB_radni_T01
23,05:38:30,42.41822815,19.24396133,10_AB_radni_T01
23,05:39:00,42.4201622,19.24354744,10_AB_radni_T01
23,05:39:34,42.42260742,19.24313545,10_AB_radni_T01
23,05:40:06,42.42473984,19.24380875,10_AB_radni_T01
23,05:40:38,42.42665482,19.24484444,10_AB_radni_T01
23,05:41:10,42.42803955,19.24465179,10_AB_radni_T01
23,05:41:44,42.43100739,19.24388504,10_AB_radni_T01
23,05:42:17,42.43342972,19.24328423,10_AB_radni_T01
23,05:42:49,42.43624496,19.2426033,10_AB_radni_T01
23,05:43:22,42.4377861,19.24280739,10_AB_radni_T01
23,05:43:59,42.43885803,19.24382782,10_AB_radni_T01
23,05:44:51,42.43917847,19.24626732,10_AB_radni_T01
23,05:46:04,42.44087601,19.24715996,10_AB_radni_T01
23,05:46:35,42.44282532,19.24820137,10_AB_radni_T01
23,05:47:06,42.44532013,19.24954224,10_AB_radni_T01
23,05:47:40,42.44719696,19.25116158,10_AB_radni_T01
23,05:48:14,42.44639969,19.25388145,10_AB_radni_T01
46,05:48:45,42.40296173,19.23886108,10_AB_radni_T01
46,05:49:15,42.40517044,19.24144745,10_AB_radni_T01
23,05:49:47,42.44396973,19.26210213,10_AB_radni_T01
46,05:50:26,42.40564728,19.24193573,10_AB_radni_T01
46,05:50:56,42.40720367,19.24315643,10_AB_radni_T01
46,05:51:30,42.40768051,19.24354362,10_AB_radni_T01
46,05:52:00,42.40988159,19.2449398,10_AB_radni_T01
23,05:52:32,42.44145966,19.2736702,10_AB_radni_T01
23,05:53:02,42.44306946,19.27775764,10_AB_radni_T01
23,05:53:35,42.444561,19.28021431,10_AB_radni_T01
46,05:54:05,42.41706467,19.24901772,10_AB_radni_T01
46,05:54:35,42.41885376,19.24914551,10_AB_radni_T01
23,05:55:07,42.44770813,19.2871685,10_AB_radni_T01
23,05:55:37,42.44867325,19.28969383,10_AB_radni_T01
23,05:56:09,42.44971466,19.29299545,10_AB_radni_T01
23,05:56:42,42.45063019,19.29254723,10_AB_radni_T01
46,05:57:13,42.41784286,19.24401283,10_AB_radni_T01
23,05:57:45,42.45259857,19.28931046,10_AB_radni_T01
46,05:58:16,42.42055511,19.24342346,10_AB_radni_T01
46,05:58:48,42.42307663,19.2430439,10_AB_radni_T01
46,05:59:20,42.42525482,19.24406242,10_AB_radni_T01
23,05:59:54,42.45863342,19.29582787,10_AB_radni_T01
23,06:00:24,42.45927811,19.2966404,10_AB_radni_T01
46,06:00:54,42.42811584,19.2446022,10_AB_radni_T01
46,06:02:04,42.4310112,19.2438488,10_AB_radni_T01
46,06:02:36,42.43399811,19.24308586,10_AB_radni_T01
46,06:03:06,42.43721008,19.24260712,10_AB_radni_T01
46,06:03:39,42.43886566,19.24326706,10_AB_radni_T01
46,06:04:13,42.43901825,19.24616432,10_AB_radni_T01
46,06:04:45,42.43987656,19.24662209,10_AB_radni_T01
46,06:05:30,42.44186401,19.2477684,10_AB_radni_T01
46,06:06:42,42.44300842,19.24829674,10_AB_radni_T01
46,06:07:14,42.44551086,19.2496109,10_AB_radni_T01
46,06:07:44,42.44727325,19.25099754,10_AB_radni_T01
46,06:08:15,42.4462471,19.2543869,10_AB_radni_T01
46,06:09:02,42.44543457,19.25716019,10_AB_radni_T01
46,06:09:34,42.4441452,19.26145554,10_AB_radni_T01
46,06:10:07,42.44348145,19.26368332,10_AB_radni_T01
46,06:10:40,42.4430809,19.26511955,10_AB_radni_T01
46,06:11:30,42.44240189,19.26752472,10_AB_radni_T01
46,06:12:01,42.44183731,19.26937103,10_AB_radni_T01
46,06:12:37,42.44129181,19.27198219,10_AB_radni_T01
46,06:13:09,42.44218063,19.27642632,10_AB_radni_T01
46,06:13:46,42.44300461,19.27767563,10_AB_radni_T01
46,06:14:19,42.44476318,19.28050423,10_AB_radni_T01
46,06:14:52,42.44643021,19.28346062,10_AB_radni_T01
46,06:15:25,42.44734573,19.28558922,10_AB_radni_T01
46,06:15:57,42.44808197,19.28807259,10_AB_radni_T01
46,06:16:36,42.44861603,19.28940582,10_AB_radni_T01
46,06:17:06,42.44964218,19.29273033,10_AB_radni_T01
46,06:17:38,42.45066833,19.29248428,10_AB_radni_T01
46,06:18:08,42.45224762,19.29004669,10_AB_radni_T01
46,06:18:39,42.45354462,19.28890419,10_AB_radni_T01
46,06:19:10,42.45500946,19.29122925,10_AB_radni_T01
46,06:19:53,42.45672226,19.29343796,10_AB_radni_T01
46,06:20:25,42.45870972,19.29589462,10_AB_radni_T01
46,06:20:56,42.4598732,19.29737663,10_AB_radni_T01
46,06:21:51,42.46088409,19.29922295,10_AB_radni_T01
19,06:12:28,42.40538788,19.24204254,10_AB_radni_T03
19,06:20:12,42.40563583,19.24188423,10_AB_radni_T03
19,06:20:42,42.40715408,19.24310493,10_AB_radni_T03
19,06:21:13,42.40842056,19.24406242,10_AB_radni_T03
19,06:21:44,42.409729,19.24487495,10_AB_radni_T03
